time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,position
34.14476299285889,4,5,2,5,5,3,6,2,1
34.14476823806763,-2,0,-2,0,-1,-4,-6,-2,1
34.14578700065613,-1,-1,-4,-8,-6,-1,-2,-6,1
34.145790100097656,0,1,4,6,4,2,4,4,1
34.1467547416687,-3,-5,-6,-15,-14,-9,-9,-7,1
34.146772384643555,2,0,1,5,4,4,4,3,1
34.14957928657532,0,0,0,2,3,-1,0,0,1
34.149582624435425,0,0,0,4,0,-2,-1,-1,1
34.16569781303406,-1,-3,-2,-3,-2,1,1,0,1
34.16570472717285,0,-2,0,-1,-1,-2,1,-1,1
34.16716027259827,-8,-9,-8,-12,-10,-4,-7,-14,1
34.16716551780701,3,3,4,5,6,0,-2,1,1
34.179017305374146,-3,-4,-6,-9,-6,0,-1,0,1
34.17902207374573,0,2,2,1,0,2,7,1,1
34.18707036972046,-2,-2,1,5,4,1,0,-3,1
34.187074422836304,-3,-2,-2,-5,-2,2,3,-1,1
34.19393467903137,1,1,1,6,3,-1,-1,-3,1
34.193939208984375,-1,-3,-1,-1,1,-1,-1,-2,1
34.20954251289368,4,4,1,-1,1,-2,1,3,1
34.209545612335205,-7,-9,-11,-14,-13,-7,-10,-7,1
34.215864419937134,1,4,4,7,8,5,5,6,1
34.21586608886719,1,-2,-3,-7,-6,-4,-3,-2,1
34.22471570968628,0,1,1,3,1,0,-2,7,1
34.22472071647644,1,2,1,1,3,0,1,0,1
34.24004292488098,1,1,1,3,3,1,1,0,1
34.24005055427551,0,-2,-2,-3,0,-2,-3,-3,1
34.247215032577515,2,2,3,4,2,0,1,3,1
34.24721884727478,-7,-9,-9,-16,-12,0,10,2,1
34.25364089012146,11,9,8,7,4,-3,-21,1,1
34.25364589691162,-2,-2,-1,-1,3,8,5,-1,1
34.2694091796875,4,2,3,3,-2,-3,-1,0,1
34.26941442489624,-1,-1,-3,-2,2,3,4,-2,1
34.27661371231079,-3,-7,-2,0,1,2,2,-4,1
34.276615619659424,-1,1,-1,-3,-3,-2,-5,0,1
34.2841420173645,-1,0,-2,1,1,2,0,2,1
34.28414487838745,4,3,3,2,0,-2,-6,-3,1
34.30801486968994,-1,-1,-2,-1,-1,-1,2,-2,1
34.30802011489868,1,1,0,5,1,-1,-1,-1,1
34.30918574333191,-5,-8,-11,-20,-13,-5,-2,-3,1
34.30918908119202,3,3,4,5,3,-2,-2,2,1
34.31424021720886,-1,-2,0,4,5,0,5,1,1
34.3142466545105,-2,-2,-5,-5,-4,-3,-1,0,1
34.329320430755615,3,3,3,6,4,3,0,3,1
34.329323530197144,2,-1,-2,-1,0,3,1,5,1
34.33613967895508,-7,-1,0,0,-1,-2,6,-5,1
34.336142778396606,-1,-4,-2,3,3,-1,7,-7,1
34.344828367233276,3,2,-4,-6,-6,-3,-5,2,1
34.34483242034912,-3,-1,1,1,-1,-1,-3,-3,1
34.35840606689453,2,1,1,3,2,4,5,3,1
34.358407735824585,-1,-1,-2,1,3,4,3,0,1
34.36715221405029,-9,-11,-12,-22,-22,-14,-15,-10,1
34.36715745925903,2,2,3,5,3,2,2,0,1
34.37392592430115,1,2,-1,-1,-1,-4,0,-2,1
34.37392997741699,2,2,2,0,0,-1,-4,0,1
34.39005208015442,1,0,5,9,9,4,3,-3,1
34.39005732536316,-2,0,-2,-3,-2,-1,-3,-1,1
34.39694333076477,-2,-2,-2,-1,-4,0,-2,-1,1
34.396949768066406,-4,-5,-7,-9,-9,-5,-8,-3,1
34.404289960861206,-2,-1,2,7,6,4,5,0,1
34.40429949760437,1,0,0,-1,-1,-3,3,8,1
34.4189817905426,-1,-1,1,1,3,2,-3,-6,1
34.418986320495605,0,4,3,5,7,2,-2,-2,1
34.42721486091614,2,1,-4,-10,-10,-8,-5,2,1
34.42721939086914,2,-1,1,2,0,-1,-1,0,1
34.43400716781616,-12,-7,-6,-6,-5,-2,0,-10,1
34.434011459350586,4,5,5,7,4,1,-4,5,1
34.449918270111084,0,0,1,7,7,3,2,-4,1
34.44992470741272,-2,-1,-4,-5,-3,-3,-5,-5,1
34.45654821395874,1,-1,-1,-4,-5,-4,-2,0,1
34.45655345916748,-2,-3,-3,-5,-6,-2,-3,-3,1
34.46384572982788,0,1,3,7,6,4,6,2,1
34.46384906768799,2,2,5,9,5,3,6,-3,1
34.47887349128723,-6,-8,-13,-18,-15,-7,-11,-3,1
34.47887945175171,0,-1,-1,-2,-3,-1,1,0,1
34.48717641830444,1,1,1,3,4,2,2,3,1
34.48718070983887,3,2,1,7,7,4,4,-2,1
34.493919372558594,-3,-4,-5,-10,-3,-3,-7,0,1
34.49392342567444,3,-3,-1,-1,-3,1,5,3,1
34.510000467300415,-1,4,-1,1,1,2,3,1,1
34.5100040435791,2,2,-1,8,3,1,1,-1,1
34.51696300506592,-6,-9,-13,-27,-25,-14,-16,-6,1
34.516969442367554,-4,-4,-1,-2,-1,2,1,2,1
34.5239143371582,1,-1,4,6,6,2,0,0,1
34.52391815185547,1,0,-3,-5,-1,2,0,0,1
34.539480447769165,4,3,2,9,7,3,3,2,1
34.53948736190796,2,0,-2,-1,-1,0,3,0,1
34.54709839820862,-2,-1,2,0,-2,-3,-7,-2,1
34.54710268974304,-7,-7,-7,-14,-13,-9,-12,-8,1
34.55397391319275,2,1,3,6,6,3,5,0,1
